"R0000100","R0000500","R0214800"
1,58,2
2,59,2
3,61,2
4,62,2
5,59,1
6,60,1
7,64,1
8,58,2
9,63,1
10,60,2
11,59,1
12,59,2
13,58,1
14,63,2
15,64,1
16,58,2
17,57,1
18,58,1
19,57,2
20,59,2
21,61,2
22,63,2
23,58,1
24,61,1
25,59,2
26,62,1
27,60,2
28,64,2
29,60,2
30,58,2
31,63,1
32,57,2
33,62,1
34,58,1
35,63,2
36,62,1
37,58,2
38,62,2
39,59,1
40,60,1
41,62,1
42,63,1
43,61,2
44,61,2
45,59,1
46,62,2
47,59,1
48,58,1
49,58,2
50,58,2
51,63,1
52,58,1
53,63,1
54,58,1
55,58,1
56,64,2
57,58,2
58,57,2
59,59,1
60,61,1
61,62,2
62,64,2
63,60,1
64,61,1
65,63,2
66,64,1
67,58,1
68,62,2
69,64,1
70,61,1
71,63,1
72,59,2
73,63,1
74,59,2
75,62,2
76,64,1
77,64,2
78,57,2
79,60,1
80,63,1
81,64,1
82,58,1
83,60,1
84,63,1
85,59,1
86,60,2
87,63,1
88,57,1
89,59,2
90,58,1
91,63,2
92,62,2
93,64,1
94,57,1
95,60,2
96,61,2
97,58,2
98,57,2
99,57,2
100,63,2
101,58,1
102,64,2
103,58,1
104,58,2
105,58,2
106,61,1
107,62,1
108,58,1
109,62,2
110,57,1
111,59,2
112,63,2
113,63,1
114,57,1
115,60,2
116,63,2
117,59,1
118,61,2
119,57,1
120,62,1
121,64,2
122,61,1
123,62,1
124,61,2
125,57,1
126,58,1
127,60,1
128,58,2
129,60,1
130,59,2
131,60,2
132,59,2
133,62,2
134,61,1
135,64,1
136,57,2
137,61,2
138,62,2
139,63,1
140,58,2
141,62,2
142,60,1
143,61,2
144,64,2
145,62,1
146,64,1
147,61,2
148,63,1
149,64,2
150,59,1
151,57,2
152,61,2
153,63,2
154,64,2
155,63,1
156,57,1
157,62,2
158,58,2
159,60,2
160,60,2
161,61,2
162,61,1
163,62,1
164,60,2
165,60,2
166,62,1
167,60,2
168,61,1
169,63,2
170,57,2
171,62,1
172,57,2
173,62,1
174,60,2
175,57,2
176,59,2
177,60,1
178,58,1
179,58,2
180,57,2
181,58,1
182,64,1
183,58,2
184,61,2
185,64,1
186,59,2
187,64,1
188,59,2
189,58,1
190,61,2
191,63,1
192,63,2
193,58,1
194,64,1
195,59,1
196,64,1
197,62,2
198,63,1
