"R0000100","R0017300","R0229200","R0417400","R0664500","R0905900","R1205800","R1605100","R1905600","R2306500","R2509000","R2908100","R3110200","R3510200","R3710200","R4137900","R4526500","R5221800","R5821800","R6540400","R7103600","R7810500","T0014400","T1214300","T2272800","T3212900","T4201100","T5176100","T7743900","T9900000"
1,12,-5,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,12
2,9,-4,-4,-4,-4,-4,12,12,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,13,13,13,12,-4,-4,12
3,10,10,-5,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,10,13,-4,-4,-4,-4,-5,-4,12,-5,10,10,-4,-4,12
4,9,-5,-4,-4,-4,13,13,14,-4,-4,-4,-4,-5,-4,-4,-5,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-4,-4,14
5,13,14,15,16,17,18,-5,-4,-5,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,18
6,12,13,14,15,16,-4,16,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-5,-4,-4,-4,-4,16,16,16,16,-4,-4,16
7,8,9,10,11,12,-4,12,12,-4,12,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,12,12,-5,-5,-5,-5,12
8,12,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,12,13,13,14,-4,-4,14,14,14,14,-4,-4,14
9,9,10,11,12,12,12,-4,13,13,-4,-4,14,-4,14,-4,-4,-4,-4,-4,-4,-4,-4,16,14,14,14,-4,-5,14
10,9,-4,-4,-4,-4,-4,-4,-5,-5,-4,-5,-4,-4,-4,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,9
11,-3,-5,15,16,-4,-4,-4,-5,-5,-5,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-5,-5,-5,-5,-5,-5,-5,16
12,13,14,15,16,-4,-4,-4,-5,-5,-5,-5,-5,-5,-5,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,16
13,14,15,15,16,-4,15,-4,-4,-4,15,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-5,-5,-5,-5,-5,-5,16
