"R0000100","R0217501","R0405601","R0618601","R0898401","R1144901","R1520101","R1890801","R2257901","R2445301","R2871000","R3074700","R3401400","R3656800","R4007300","R4418400","R5081400","R5166700","R6479300","R7007000","R7704300","R8496700","T0988500","T2210500","T3108400","T4112900","T5023300","T5771200","T8219300"
1,0,-5,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,0,0,-5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-5,1,1,-5,1,1,1,1
4,0,-5,1,1,2,2,2,3,2,3,3,3,-5,3,3,-5,1,1,-5,-5,-5,-5,-5,-5,-5,-5,1,1
5,0,0,0,0,0,0,-5,1,-5,1,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
6,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,-5,1,1,1,1,1,1,1,1,1,1
7,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,3,3,3,3,3,3,3,3,-5,-5,-5,-5
8,1,1,1,1,1,1,1,1,1,2,2,2,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1
9,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-5
10,0,0,0,0,1,1,1,-5,-5,1,-5,1,1,1,1,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
11,0,-5,0,0,0,0,0,-5,-5,-5,0,0,0,0,0,0,0,0,0,0,0,-5,-5,-5,-5,-5,-5,-5
12,0,0,0,0,1,1,1,-5,-5,-5,-5,-5,-5,-5,1,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
13,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,3,3,3,-5,-5,-5,-5,-5,-5
14,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,3,3,3,3,3,3,3,3,-5
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
16,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,3,3,3,3
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,3,3,3,3
18,0,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,3,3,3,3,3,3,3,3,3,3
19,1,3,3,2,-5,3,3,3,3,1,2,2,2,2,2,2,-5,2,-5,-5,-5,1,-5,1,-5,-5,-5,-5
20,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-5,1,1,1,-5
21,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
22,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,-5
23,0,0,0,0,0,-5,-5,-5,-5,-5,-5,-5,0,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
24,0,0,0,0,0,-5,0,1,1,1,1,1,-5,1,1,3,3,3,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
