id,birth,male,hgc,edu,urb,hispanic,black,high_school_dropout,high_school_graduate,some_college,college_graduate,above_college,protestant,catholic,sinbeg1,sinend1,sindur1,sinrc1,marbeg1,marend1,mardur1,marrc1,sinbeg2,sinend2,sindur2,sinrc2,marbeg2,marend2,mardur2,marrc2,sinbeg3,sinend3,sindur3,sinrc3,marbeg3,marend3,mardur3,marrc3,sinbeg4,sinend4,sindur4,sinrc4,marbeg4,marend4,mardur4,marrc4,age_sinbeg1,age_sinend1,age_marbeg1,age_marend1,age_sinbeg2,age_sinend2,age_marbeg2,age_marend2,age_sinbeg3,age_sinend3,age_marbeg3,age_marend3,age_sinbeg4,age_sinend4,age_marbeg4,age_marend4,mar1spouse_hgc,mar1spouse_edu,mar2spouse_hgc,mar2spouse_edu,mar3spouse_hgc,mar3spouse_edu,mar4spouse_hgc,mar4spouse_edu,spouse_age_marbeg1,spouse_age_marbeg2,spouse_age_marbeg3,spouse_age_marbeg4,spouse_age_marend1,spouse_age_marend2,spouse_age_marend3,spouse_age_marend4,mar1_age_spouse_age,mar2_age_spouse_age,mar3_age_spouse_age,mar4_age_spouse_age,mar1_edu_equal,mar1_edu_spouseHigher,mar2_edu_equal,mar2_edu_spouseHigher,mar3_edu_equal,mar3_edu_spouseHigher,mar4_edu_equal,mar4_edu_spouseHigher,mar1_spouseEdu_NA,mar2_spouseEdu_NA,mar3_spouseEdu_NA,mar4_spouseEdu_NA,mar1_spouseAge_NA,mar2_spouseAge_NA,mar3_spouseAge_NA,mar4_spouseAge_NA,mar1_age_diff,mar2_age_diff,mar3_age_diff,mar4_age_diff,mar1spouse_hsd,mar1spouse_hsg,mar1spouse_sc,mar1spouse_cg,mar1spouse_ac,mar2spouse_hsd,mar2spouse_hsg,mar2spouse_sc,mar2spouse_cg,mar2spouse_ac,mar3spouse_hsd,mar3spouse_hsg,mar3spouse_sc,mar3spouse_cg,mar3spouse_ac,mar4spouse_hsd,mar4spouse_hsg,mar4spouse_sc,mar4spouse_cg,mar4spouse_ac
12,1959,0,16,3,1.0,0,0,0,0,0,1,0,0,1,1975,1983,8.0,0,1983.0,-998.0,36.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,16.0,24.0,24.0,,,,,,,,,,,,,,12.0,1.0,,,,,,,25.0,,,,,,,,600.0,,,,0.0,0.0,,,,,,,0.0,,,,0.0,,,,-1.0,,,,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
13,1958,1,16,3,1.0,0,0,0,0,0,1,0,0,1,1974,1988,14.0,0,1988.0,2001.0,13.0,0.0,2001.0,-997.0,18.0,1.0,,,,,,,,,,,,,,,,,,,,,16.0,30.0,30.0,43.0,43.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,1963,0,19,4,1.0,0,0,0,0,0,0,1,0,1,1979,1990,11.0,0,1990.0,2001.0,11.0,0.0,2001.0,-997.0,18.0,1.0,,,,,,,,,,,,,,,,,,,,,16.0,27.0,27.0,38.0,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,1964,1,16,3,1.0,0,0,0,0,0,1,0,0,1,1980,1993,13.0,0,1993.0,-998.0,26.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,16.0,29.0,29.0,,,,,,,,,,,,,,19.0,4.0,,,,,,,25.0,,,,,,,,725.0,,,,0.0,1.0,,,,,,,0.0,,,,0.0,,,,4.0,,,,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,
16,1958,0,13,2,1.0,0,0,0,0,1,0,0,0,1,1974,1988,14.0,0,1988.0,2009.0,21.0,0.0,2009.0,-997.0,10.0,1.0,,,,,,,,,,,,,,,,,,,,,16.0,30.0,30.0,51.0,51.0,,,,,,,,,,,,,,,,,,,,30.0,,,,51.0,,,,900.0,,,,,,,,,,,,1.0,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
17,1957,1,13,2,1.0,0,0,0,0,1,0,0,0,0,1973,2000,27.0,0,2000.0,2011.0,11.0,0.0,2011.0,-997.0,8.0,1.0,,,,,,,,,,,,,,,,,,,,,16.0,43.0,43.0,54.0,54.0,,,,,,,,,,,,12.0,1.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,0.0,,,,1.0,,,,,,,,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
18,1958,1,13,2,1.0,0,0,0,0,1,0,0,0,0,1974,1979,5.0,0,1979.0,1994.0,15.0,0.0,1994.0,1994.0,1.0,0.0,1994.0,1999.0,5.0,0.0,1999.0,-995.0,20.0,1.0,,,,,,,,,,,,,16.0,21.0,21.0,36.0,36.0,36.0,36.0,41.0,41.0,,,,,,,,13.0,2.0,13.0,2.0,,,,,,40.0,,,,45.0,,,,1440.0,,,1.0,0.0,1.0,0.0,,,,,0.0,0.0,,,1.0,0.0,,,,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,
19,1957,0,12,1,1.0,0,0,0,1,0,0,0,0,1,1973,1979,6.0,0,1979.0,1979.0,1.0,0.0,1979.0,1981.0,2.0,0.0,1981.0,1984.0,3.0,0.0,1984.0,1987.0,3.0,0.0,1987.0,2002.0,15.0,0.0,2002.0,2004.0,2.0,0.0,2004.0,-992.0,15.0,1.0,16.0,22.0,22.0,22.0,22.0,24.0,24.0,27.0,27.0,30.0,30.0,45.0,45.0,47.0,47.0,,10.0,0.0,,,,,,,28.0,,,,29.0,,,,616.0,,,,0.0,0.0,,,,,,,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,-6.0,,,,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
20,1959,0,17,4,1.0,0,0,0,0,0,0,1,0,1,1975,1988,13.0,0,1988.0,-998.0,31.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,16.0,29.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1961,0,16,3,1.0,0,0,0,0,0,1,0,0,1,1977,1992,15.0,0,1992.0,-998.0,27.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,16.0,31.0,31.0,,,,,,,,,,,,,,16.0,3.0,,,,,,,32.0,,,,,,,,992.0,,,,1.0,0.0,,,,,,,0.0,,,,0.0,,,,-1.0,,,,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,
